300.22	0.401
300.48	0.400
300.75	0.398
301.02	0.398
301.29	0.397
301.55	0.398
301.82	0.399
302.09	0.400
302.35	0.399
302.62	0.399
302.89	0.397
303.16	0.395
303.42	0.394
303.69	0.393
303.96	0.392
304.22	0.389
304.49	0.389
304.76	0.387
305.03	0.385
305.29	0.385
305.56	0.383
305.83	0.381
306.09	0.382
306.36	0.382
306.63	0.381
306.89	0.380
307.16	0.379
307.43	0.378
307.70	0.377
307.96	0.376
308.23	0.375
308.50	0.373
308.76	0.371
309.03	0.369
309.30	0.368
309.56	0.366
309.83	0.366
310.10	0.366
310.37	0.366
310.63	0.366
310.90	0.365
311.17	0.363
311.43	0.362
311.70	0.360
311.97	0.360
312.23	0.359
312.50	0.358
312.77	0.358
313.03	0.356
313.30	0.354
313.57	0.351
313.84	0.350
314.10	0.350
314.37	0.349
314.64	0.348
314.90	0.347
315.17	0.346
315.44	0.345
315.70	0.343
315.97	0.342
316.24	0.342
316.50	0.342
316.77	0.342
317.04	0.340
317.30	0.340
317.57	0.340
317.84	0.338
318.10	0.338
318.37	0.336
318.64	0.335
318.90	0.334
319.17	0.332
319.44	0.330
319.70	0.328
319.97	0.327
320.24	0.327
320.50	0.325
320.77	0.324
321.04	0.323
321.30	0.322
321.57	0.321
321.84	0.320
322.10	0.320
322.37	0.319
322.64	0.318
322.90	0.317
323.17	0.316
323.44	0.315
323.70	0.313
323.97	0.312
324.23	0.311
324.50	0.311
324.77	0.310
325.03	0.309
325.30	0.308
325.57	0.307
325.83	0.308
326.10	0.307
326.37	0.305
326.63	0.304
326.90	0.304
327.17	0.303
327.43	0.302
327.70	0.302
327.96	0.301
328.23	0.299
328.50	0.297
328.76	0.297
329.03	0.297
329.30	0.296
329.56	0.294
329.83	0.292
330.10	0.291
330.36	0.290
330.63	0.288
330.89	0.287
331.16	0.288
331.43	0.287
331.69	0.286
331.96	0.286
332.23	0.286
332.49	0.285
332.76	0.285
333.02	0.284
333.29	0.283
333.56	0.283
333.82	0.282
334.09	0.280
334.36	0.278
334.62	0.277
334.89	0.276
335.15	0.275
335.42	0.275
335.69	0.273
335.95	0.273
336.22	0.273
336.48	0.272
336.75	0.271
337.02	0.272
337.28	0.271
337.55	0.271
337.82	0.270
338.08	0.271
338.35	0.271
338.61	0.270
338.88	0.268
339.15	0.267
339.41	0.266
339.68	0.265
339.94	0.264
340.21	0.264
340.48	0.263
340.74	0.262
341.01	0.261
341.27	0.259
341.54	0.259
341.81	0.259
342.07	0.258
342.34	0.259
342.60	0.259
342.87	0.258
343.13	0.258
343.40	0.257
343.67	0.257
343.93	0.257
344.20	0.257
344.46	0.256
344.73	0.255
345.00	0.254
345.26	0.252
345.53	0.250
345.79	0.250
346.06	0.248
346.33	0.248
346.59	0.247
346.86	0.247
347.12	0.247
347.39	0.246
347.65	0.245
347.92	0.246
348.19	0.245
348.45	0.245
348.72	0.245
348.98	0.243
349.25	0.241
349.51	0.241
349.78	0.239
350.05	0.239
350.31	0.238
350.58	0.238
350.84	0.237
351.11	0.237
351.37	0.237
351.64	0.236
351.90	0.235
352.17	0.235
352.44	0.233
352.70	0.232
352.97	0.233
353.23	0.233
353.50	0.232
353.76	0.231
354.03	0.230
354.30	0.230
354.56	0.229
354.83	0.229
355.09	0.230
355.36	0.230
355.62	0.229
355.89	0.228
356.15	0.228
356.42	0.228
356.68	0.227
356.95	0.226
357.22	0.226
357.48	0.226
357.75	0.225
358.01	0.224
358.28	0.224
358.54	0.223
358.81	0.222
359.07	0.222
359.34	0.222
359.60	0.221
359.87	0.221
360.14	0.220
360.40	0.219
360.67	0.219
360.93	0.219
361.20	0.220
361.46	0.220
361.73	0.219
361.99	0.219
362.26	0.218
362.52	0.218
362.79	0.217
363.05	0.218
363.32	0.217
363.58	0.217
363.85	0.218
364.11	0.217
364.38	0.215
